FullDate,Arrival,Departure,Total
1998-01-01,1029744,1200708,2230452
1998-02-01,1091947,913061,2005008
1998-03-01,1070547,1099234,2169781
1998-04-01,1184956,1151549,2336505
1998-05-01,1051369,1077758,2129127
1998-06-01,1085690,1085479,2171169
1998-07-01,1203855,1238250,2442105
1998-08-01,1334642,1269286,2603928
1998-09-01,1021237,1097754,2118991
1998-10-01,1246202,1173786,2419988
1998-11-01,1095185,1062187,2157372
1998-12-01,1219615,1204751,2424366
1999-01-01,1072733,1080788,2153521
1999-02-01,1165738,1177213,2342951
1999-03-01,1141608,1158939,2300547
1999-04-01,1266402,1222643,2489045
1999-05-01,1156803,1163977,2320780
1999-06-01,1110030,1135203,2245233
1999-07-01,1330977,1369445,2700422
1999-08-01,1408157,1339286,2747443
1999-09-01,1113918,1153682,2267600
1999-10-01,1316375,1277962,2594337
1999-11-01,1235095,1217614,2452709
1999-12-01,1234434,1213548,2447982
2000-01-01,1125875,1166816,2292691
2000-02-01,1305123,1233741,2538864
2000-03-01,1252303,1260248,2512551
2000-04-01,1433209,1445557,2878766
2000-05-01,1330375,1322463,2652838
2000-06-01,1310638,1320560,2631198
2000-07-01,1450450,1484304,2934754
2000-08-01,1525680,1452082,2977762
2000-09-01,1315969,1376089,2692058
2000-10-01,1429783,1379342,2809125
2000-11-01,1274250,1247394,2521644
2000-12-01,1358410,1330051,2688461
2001-01-01,1331381,1419393,2750774
2001-02-01,1175217,1090521,2265738
2001-03-01,1416898,1416302,2833200
2001-04-01,1425368,1473037,2898405
2001-05-01,1356892,1323266,2680158
2001-06-01,1358268,1393481,2751749
2001-07-01,1389017,1408658,2797675
2001-08-01,1540111,1487073,3027184
2001-09-01,1218047,1290859,2508906
2001-10-01,1289195,1207694,2496889
2001-11-01,1168502,1152605,2321107
2001-12-01,1358784,1336375,2695159
2002-01-01,1216709,1216682,2433391
2002-02-01,1328364,1309146,2637510
2002-03-01,1384018,1485728,2869746
2002-04-01,1475597,1392442,2868039
2002-05-01,1374134,1368024,2742158
2002-06-01,1290681,1313620,2604301
2002-07-01,1466811,1485923,2952734
2002-08-01,1588865,1522140,3111005
2002-09-01,1322969,1364733,2687702
2002-10-01,1505215,1446619,2951834
2002-11-01,1354986,1331352,2686338
2002-12-01,1463903,1442911,2906814
2003-01-01,1301159,1443118,2744277
2003-02-01,1401770,1229888,2631658
2003-03-01,1200309,1253754,2454063
2003-04-01,419307,473589,892896
2003-05-01,276938,279129,556067
2003-06-01,565475,567385,1132860
2003-07-01,1203133,1198583,2401716
2003-08-01,1509449,1430921,2940370
2003-09-01,1282265,1309868,2592133
2003-10-01,1432563,1375288,2807851
2003-11-01,1355812,1326757,2682569
2003-12-01,1471072,1444762,2915834
2004-01-01,1462011,1502530,2964541
2004-02-01,1212443,1133189,2345632
2004-03-01,1389324,1369687,2759011
2004-04-01,1538619,1500544,3039163
2004-05-01,1375639,1379485,2755124
2004-06-01,1513929,1495996,3009925
2004-07-01,1678414,1677102,3355516
2004-08-01,1749152,1676775,3425927
2004-09-01,1453376,1527031,2980407
